Name,Year,Total Population,Growth Rate,Population Density (per sq km),Total Fertility Rate,Life Expectancy at Birth,Under-5 Mortality Rate,Sex Ratio of the Population,Youth and Old Age (0-14 and 65+),Youth (0-14),Old Age (65+),Both Sexes,Male,Female
Romania,2023.0,18326327,-1.01,79.7,1.63,76.3,6.7,0.93,61.0,25.2,35.8,45.1,46.5,43.6
Russia,2023.0,141505279,-0.48,8.6,1.51,72.0,8.3,0.87,51.7,25.5,26.2,41.5,44.2,39.0
Saudi Arabia,2023.0,35939806,1.65,16.7,1.89,76.9,13.7,1.31,38.2,32.4,5.8,32.0,29.0,34.2
Singapore,2023.0,5975383,0.9,8427.9,1.17,86.5,1.9,1.0,39.9,20.7,19.2,38.9,40.1,37.7
South Africa,2023.0,59795503,1.08,49.2,2.31,71.0,27.7,0.96,53.2,42.0,11.2,30.1,30.3,29.9
Sweden,2023.0,10536338,0.51,25.7,1.67,82.8,2.7,1.01,61.2,27.8,33.3,41.0,42.0,40.0
Switzerland,2023.0,8793404,0.78,219.9,1.59,83.8,3.6,0.99,54.0,23.2,30.8,44.0,44.8,43.3
Thailand,2023.0,69794997,0.2,136.6,1.54,77.9,8.5,0.95,43.8,23.0,20.8,41.0,42.2,39.8
Turkey,2023.0,83593483,0.64,108.6,1.91,76.5,21.6,1.01,45.8,32.3,13.6,33.6,34.1,33.0
UAE,2023.0,9973449,0.58,119.3,1.62,79.8,5.5,2.16,22.3,19.8,2.4,35.7,29.9,37.9
United Kingdom,2023.0,68138484,0.49,281.6,1.63,82.1,4.3,0.99,56.2,26.4,29.8,40.6,41.4,39.9
United States,2023.0,334914895,0.53,36.6,1.63,79.69999999999999,6.299999999999979,0.98,54.9,27.5,27.4,39.1,40.2,38.0
Vietnam,2023.0,104799174,0.93,338.0,2.04,75.8,18.6,1.01,45.6,34.1,11.5,32.7,33.8,31.6
Argentina,2024.0,45306215,0.23,16.6,1.43,77.4,9.4,0.99,50.9,31.5,19.4,34.2,35.4,33.1
Australia,2024.0,26768598,1.13,3.5,1.73,83.5,3.5,0.99,54.5,28.3,26.2,38.1,39.2,36.9
Austria,2024.0,9147000,0.32,110.9,1.34,82.0,3.9,0.95,53.4,21.7,31.7,44.3,45.3,43.4
Bangladesh,2024.0,168697184,0.89,1296.0,2.07,75.2,35.5,0.96,49.0,37.4,11.6,29.6,30.4,28.7
Belgium,2024.0,11903530,0.5,393.1,1.47,82.4,3.7,0.98,57.3,25.3,32.1,42.3,43.3,41.2
Brazil,2024.0,220051512,0.61,26.3,1.74,76.3,16.3,0.97,43.8,28.2,15.6,35.1,36.1,34.0
Canada,2024.0,38904514,0.72,4.3,1.44,83.9,4.8,0.99,56.8,23.9,32.9,42.5,43.9,41.2
Chile,2024.0,18998355,0.52,25.5,1.25,80.4,5.4,0.97,44.9,24.8,20.0,38.3,39.3,37.2
China,2024.0,1407929929,-0.03,151.0,1.23,78.5,7.3,1.04,43.9,23.2,20.7,40.4,41.6,39.1
Colombia,2024.0,49588357,0.48,47.7,1.94,74.9,13.8,0.95,50.3,33.5,16.9,32.7,34.0,31.5
